n,avgQuality,make,model,logValues,modelName,makeName
26#3549,95.37,26,3549,1.979411783,NV30VLUUNV30LANDIAONV30,SamsungTechwin
7#1388,95.37,7,1388,1.979411783,C6902,Sony
5#77,95.374,5,77,1.979429997,SCH-I545,SAMSUNG
4#3015,95.37444444,4,3015,1.979432021,DMC-LS60,Panasonic
136#3228,95.375,136,3228,1.979434551,GR-D270,JVC
136#4169,95.375,136,4169,1.979434551,GZ-MS100,JVC
24#3805,95.38258621,24,3805,1.979469094,FinePixXP20,FUJIFILM
54#1739,95.38375,54,1739,1.979474393,PENTAXOptioWG-1,PENTAX
26#3156,95.391,26,3156,1.979507402,Digimax530/KENOXD530,SamsungTechwin
7#2074,95.39333333,7,2074,1.979518025,SLT-A33,Sony
74#2018,95.394375,74,2018,1.979522767,CA9,SANYOElectricCo.Ltd.
5#2521,95.39694444,5,2521,1.979534464,SGH-F480i,SAMSUNG
154#3869,95.41772727,154,3869,1.979629068,SIGMADP2S,SIGMA
24#3292,95.41884615,24,3292,1.979634161,FinePix1500,FUJIFILM
48#397,95.42,48,397,1.979639412,EX-Z200,CASIOCOMPUTERCO.LTD.
48#1275,95.42,48,1275,1.979639412,EX-S880,CASIOCOMPUTERCO.LTD.
48#2388,95.42,48,2388,1.979639412,EX-ZR10,CASIOCOMPUTERCO.LTD.
8#1864,95.42153571,8,1864,1.979646402,COOLPIXS3100,Nikon
43#1624,95.42862069,43,1624,1.979678647,QV-R41,CASIOCOMPUTERCO.LTD
5#744,95.43,5,744,1.979684924,GT-I8700,SAMSUNG
39#2871,95.44,39,2871,1.979730431,HPPhotoSmartR717(V01.00)d,Hewlett-Packard
4#2852,95.44142857,4,2852,1.979736931,DMC-LC80,Panasonic
13#121,95.45,13,121,1.979775933,HERO3+SilverEdition,GoPro
48#1259,95.455,48,1259,1.979798682,EX-FC100,CASIOCOMPUTERCO.LTD.
48#1618,95.455,48,1618,1.979798682,EX-Z2000,CASIOCOMPUTERCO.LTD.
48#1931,95.455,48,1931,1.979798682,EX-H5,CASIOCOMPUTERCO.LTD.
48#2061,95.455,48,2061,1.979798682,EX-H20G,CASIOCOMPUTERCO.LTD.
48#2120,95.455,48,2120,1.979798682,EX-S12,CASIOCOMPUTERCO.LTD.
48#2170,95.455,48,2170,1.979798682,EX-Z800,CASIOCOMPUTERCO.LTD.
48#2331,95.455,48,2331,1.979798682,EX-H30,CASIOCOMPUTERCO.LTD.
48#3136,95.455,48,3136,1.979798682,EX-Z12,CASIOCOMPUTERCO.LTD.
48#3569,95.455,48,3569,1.979798682,EX-S5,CASIOCOMPUTERCO.LTD.
48#3640,95.455,48,3640,1.979798682,EX-Z2,CASIOCOMPUTERCO.LTD.
48#4087,95.455,48,4087,1.979798682,EX-ZR400,CASIOCOMPUTERCO.LTD.
4#1296,95.46109375,4,1296,1.979826406,DMC-FX33,Panasonic
150#1729,95.46333333,150,1729,1.979836595,PENTAXOptio230,AsahiOpticalCo.Ltd.
7#3988,95.465,7,3988,1.979844177,DSC-W550,Sony
4#1113,95.47240741,4,1113,1.979877874,DMC-SZ7,Panasonic
54#4188,95.4725,54,4188,1.979878295,PENTAXX-5,PENTAX
24#2232,95.47285714,24,2232,1.97987992,FinePixS2500HD,FUJIFILM
74#3188,95.475,74,3188,1.979889667,C40,SANYOElectricCo.Ltd.
7#684,95.47666667,7,684,1.979897248,SLT-A58,Sony
7#1664,95.47666667,7,1664,1.979897248,ILCE-3000,Sony
7#1950,95.48,7,1950,1.97991241,MHS-PM5,Sony
150#3106,95.483,150,3106,1.979926056,PENTAXOptio330RS,AsahiOpticalCo.Ltd.
4#2168,95.485,4,2168,1.979935152,PHOTOfunSTUDIO5HD,Panasonic
4#4066,95.485,4,4066,1.979935152,PHOTOfunSTUDIO6.5BD,Panasonic
24#624,95.48649123,24,624,1.979941935,FinePixJ15fd,FUJIFILM
5#301,95.49,5,301,1.979957893,GT-I9195,SAMSUNG
54#484,95.5026087,54,484,1.980015235,PENTAXK-r,PENTAX
11#561,95.50391608,11,561,1.98002118,PENTAXOptioS,PENTAXCorporation
11#1602,95.505,11,1602,1.980026109,PENTAXOptioS5z,PENTAXCorporation
9#4242,95.5075,9,4242,1.980037477,XZ-10,OLYMPUSIMAGINGCORP.
5#541,95.5075,5,541,1.980037477,SM-G900F,SAMSUNG
5#1871,95.5075,5,1871,1.980037477,SGH-T889,SAMSUNG
5#2502,95.5075,5,2502,1.980037477,SC-02E,SAMSUNG
7#3498,95.5075,7,3498,1.980037477,HDR-SR11,Sony
33#4105,95.5075,33,4105,1.980037477,ST18a,SonyEricsson
62#1419,95.50944444,62,1419,1.980046319,C-LUX2,LEICA
11#1498,95.5135,11,1498,1.98006476,PENTAXOptio50L,PENTAXCorporation
24#3926,95.515,24,3926,1.98007158,FinePixSL240,FUJIFILM
24#4189,95.515,24,4189,1.98007158,FinePixAX250,FUJIFILM
8#2098,95.515,8,2098,1.98007158,COOLPIXS02,Nikon
31#379,95.51666667,31,379,1.980079158,QV-3EX,CASIO
16#820,95.519,16,820,1.980089767,LG-P880,LGElectronics
24#2614,95.52107143,24,2614,1.980099185,FinePix30i,FUJIFILM
24#2466,95.52727273,24,2466,1.980127379,FinePixS4200,FUJIFILM
7#3469,95.53065934,7,3469,1.980142775,DSC-W330,Sony
43#2814,95.53284211,43,2814,1.980152698,EX-P505,CASIOCOMPUTERCO.LTD
39#1745,95.545,39,1745,1.980207965,HPPhotoSmartR817(V01.00)+,Hewlett-Packard
5#980,95.545,5,980,1.980207965,GT-I9100M,SAMSUNG
7#2619,95.54583333,7,2619,1.980211753,DSC-W15,Sony
62#2991,95.54816667,62,2991,1.980222358,Digilux1,LEICA
11#1600,95.55192308,11,1600,1.980239432,PENTAXOptioE40,PENTAXCorporation
98#1912,95.55285714,98,1912,1.980243677,SAMSUNGGX20,SAMSUNGTECHWINCo.
139#2773,95.55833333,139,2773,1.980268566,ION230F/WVER2003.09.09,Polaroid
154#3814,95.55875,154,3814,1.98027046,SIGMASD1Merrill,SIGMA
136#3294,95.56333333,136,3294,1.98029129,GZ-HD30,JVC
9#3440,95.585,9,3440,1.980389744,FE5000X905,OLYMPUSIMAGINGCORP.
5#4006,95.585,5,4006,1.980389744,SGH-T989D,SAMSUNG
127#1407,95.595,127,1407,1.980435178,GranTurismo5,PolyphonyDigitalInc.
5#3615,95.5975,5,3615,1.980446535,SAMSUNGES25ES27/VLUUES2,SAMSUNG
95#2730,95.59916667,95,2730,1.980454107,DCC520,BenQ
14#1071,95.60166667,14,1071,1.980465464,CanonIXYDIGITAL400,Canon
24#3429,95.61021739,24,3429,1.980504306,FinePixS200EXR,FUJIFILM
7#2387,95.61438597,7,2387,1.98052324,DSC-T500,Sony
4#3174,95.61875,4,3174,1.980543062,HDC-SD9,Panasonic
11#2816,95.61888889,11,2816,1.980543693,PENTAXOptioS60,PENTAXCorporation
7#1434,95.625,7,1434,1.980571448,DSC-M1,Sony
24#4152,95.63,24,4152,1.980594156,FinePixJX550,FUJIFILM
24#4294,95.63,24,4294,1.980594156,FinePixXP60,FUJIFILM
24#3236,95.635,24,3236,1.980616862,FinePixJ12,FUJIFILM
9#3503,95.63666667,9,3503,1.980624431,E-600,OLYMPUSIMAGINGCORP.
4#1196,95.63710526,4,1196,1.980626422,DMC-ZS3,Panasonic
8#2378,95.64247788,8,2378,1.980650819,COOLPIXS640,Nikon
136#3507,95.6425,136,3507,1.98065092,GZ-MG630,JVC
245#3022,95.6475,245,3022,1.980673623,DigimaxU-CA401/KenoxME4,SAMSUNGTECHWINCO.LTD
109#3404,95.65125,109,3404,1.98069065,FinecamS3R,KYOCERA
5#3462,95.65166667,5,3462,1.980692542,SAMSUNGPL55/VLUUPL55/SAMS,SAMSUNG
73#1717,95.66121951,73,1717,1.980735913,GRDigital,RICOH
4#508,95.66428571,4,508,1.980749833,DMC-TZ55,Panasonic
43#1880,95.66464286,43,1880,1.980751455,EX-Z4,CASIOCOMPUTERCO.LTD
5#1973,95.665,5,1973,1.980753076,SHV-E250K,SAMSUNG
25#3085,95.665,25,3085,1.980753076,SamsungS85,SAMSUNGTECHWINCO.LTD.
4#4000,95.66678571,4,4000,1.980761182,DMC-ZS19,Panasonic
73#1549,95.67343137,73,1549,1.98079135,RICOHR10,RICOH
5#703,95.67375,5,703,1.980792797,EK-GC100,SAMSUNG
154#2444,95.69666667,154,2444,1.980896811,SIGMADP2,SIGMA
4#2970,95.70052632,4,2970,1.980914326,DMC-LS75,Panasonic
26#2927,95.70214286,26,2927,1.980921662,NV15VLUUNV15,SamsungTechwin
7#2827,95.70597015,7,2827,1.98093903,DSC-S500,Sony
5#3660,95.70833333,5,3660,1.980949753,SGH-i896,SAMSUNG
229#2757,95.7125,229,2757,1.98096866,PolaroidPDC3050,WWL
24#572,95.71571429,24,572,1.980983245,FinePix2200,FUJIFILM
7#3875,95.725,7,3875,1.981025375,DCR-PC3,Sony
43#1625,95.7250431,43,1625,1.981025571,QV-R61,CASIOCOMPUTERCO.LTD
4#2577,95.73083333,4,2577,1.981051839,DMC-LC1,Panasonic
73#1548,95.73114094,73,1548,1.981053235,GRDIGITAL2,RICOH
91#1574,95.73166667,91,1574,1.98105562,SO-01B,DoCoMo
142#3386,95.74,142,3386,1.981093423,VP-MS11,SamsungElectronics
9#3276,95.74083333,9,3276,1.981097203,E-30,OLYMPUSIMAGINGCORP.
24#3706,95.745,24,3706,1.981116103,FinePixS2750HD,FUJIFILM
43#1263,95.74884615,43,1263,1.981133549,EX-Z750,CASIOCOMPUTERCO.LTD
24#3837,95.76125,24,3837,1.981189806,FinePixF300EXR,FUJIFILM
61#1314,95.77,61,1314,1.981229487,Nexus10,Google
5#2543,95.77,5,2543,1.981229487,GT-N5100,SAMSUNG
5#2555,95.77,5,2555,1.981229487,SM-T310,SAMSUNG
5#4199,95.77,5,4199,1.981229487,GT-N8010,SAMSUNG
5#4263,95.77,5,4263,1.981229487,GT-N8000,SAMSUNG
48#1261,95.775,48,1261,1.981252161,EX-Z330,CASIOCOMPUTERCO.LTD.
7#1800,95.777,7,1800,1.98126123,DSC-W115,Sony
4#506,95.77740741,4,506,1.981263077,DMC-FZ72,Panasonic
4#3070,95.7825,4,3070,1.981286168,PV-GS200,Panasonic
5#1841,95.785,5,1841,1.981297504,GT-B3410,SAMSUNG
5#1975,95.7975,5,1975,1.981354176,SHW-M100S,SAMSUNG
14#1721,95.79833333,14,1721,1.981357953,CanonEOSKissDigital,Canon
39#3098,95.8,39,3098,1.981365509,HPPhotoSmartR507(V01.00)d,Hewlett-Packard
39#3137,95.8,39,3137,1.981365509,HPPhotoSmartR818(V01.00)+,Hewlett-Packard
39#3207,95.8,39,3207,1.981365509,HPPhotoSmartR818(V01.00),Hewlett-Packard
39#3240,95.8,39,3240,1.981365509,HPPhotoSmartR507(V01.00)+,Hewlett-Packard
9#1865,95.807,9,1865,1.981397241,FE4020X940,OLYMPUSIMAGINGCORP.
7#319,95.81375,7,319,1.981427838,DSLR-A550,Sony
154#3671,95.8225,154,3671,1.981467497,SIGMASD1,SIGMA
4#109,95.82875,4,109,1.981495823,DMC-FS16,Panasonic
24#3647,95.83,24,3647,1.981501488,FinePixREAL3DW3,FUJIFILM
5#3449,95.84306452,5,3449,1.981560692,SAMSUNGST500/SAMSUNGST510,SAMSUNG
134#2778,95.845,134,2778,1.981569462,PENTAXOptio430,AsahiOpticalCo.Ltd
24#1932,95.845,24,1932,1.981569462,FinePixS1900,FUJIFILM
24#3400,95.85905405,24,3400,1.981633139,FinePixS602,FUJIFILM
4#3442,95.8625,4,3442,1.981648751,DMC-TZ65,Panasonic
39#1152,95.86375,39,1152,1.981654414,HPPhotoSmartR927(V01.00),Hewlett-Packard
9#82,95.864375,9,82,1.981657245,SP-620UZ,OLYMPUSIMAGINGCORP.
48#3310,95.86625,48,3310,1.981665739,EX-Z29,CASIOCOMPUTERCO.LTD.
4#868,95.87382353,4,868,1.981700048,DMC-TZ31,Panasonic
5#3553,95.88,5,3553,1.981728025,SCH-I500,SAMSUNG
4#3346,95.88333333,4,3346,1.981743124,DMC-LS85,Panasonic
5#4195,95.89,5,4195,1.981773319,SCH-R760,SAMSUNG
9#3666,95.8915,9,3666,1.981780112,FE45X40,OLYMPUSIMAGINGCORP.
48#2137,95.897,48,2137,1.981805021,EX-F1,CASIOCOMPUTERCO.LTD.
8#3307,95.89862069,8,3307,1.981812361,COOLPIXS620,Nikon
9#2047,95.90277778,9,2047,1.981831186,TG-3,OLYMPUSIMAGINGCORP.
9#935,95.90333333,9,935,1.981833702,FE4010X930,OLYMPUSIMAGINGCORP.
18#1740,95.90611111,18,1740,1.981846281,KODAKEASYSHAREZ1015ISDIGI,EASTMANKODAKCOMPANY
26#1157,95.922,26,1157,1.981918225,NV5/VLUUNV5,SamsungTechwin
4#2761,95.92394737,4,2761,1.981927042,DMC-LC5,Panasonic
4#1450,95.932,4,1450,1.981963499,DMC-LZ8,Panasonic
102#1110,95.93333333,102,1110,1.981969535,MiTwo,Xiaomi
7#731,95.93636364,7,731,1.981983253,DSC-T110,Sony
73#3131,95.94683333,73,3131,1.982030646,CaplioR3,RICOH
115#1272,95.953,115,1272,1.982058558,DCE820%x.%04xCop,BenQDCE820%x.%04xCo
7#1653,95.95666667,7,1653,1.982075153,DSC-W580,Sony
7#1943,95.97,7,1943,1.982135495,LT22i,Sony
153#3975,95.9725,153,3975,1.982146808,C1433,GeneralImagingCo.
16#591,95.9725,16,591,1.982146808,LG-D802,LGElectronics
6#2241,95.97466667,6,2241,1.982156612,NIKOND1X,Nikon Corporation
313#4060,95.975,313,4060,1.982158121,PureShotforiPhone,Jag.gr
109#3556,95.98,109,3556,1.982180746,CONTAXNDIGITAL,KYOCERA
5#3882,95.98,5,3882,1.982180746,GT-S5600,SAMSUNG
7#1706,95.995,7,1706,1.982248613,HDR-TG7VE,Sony
48#1276,95.99848684,48,1276,1.982264388,EX-Z500,CASIOCOMPUTERCO.LTD.
142#1967,95.99916667,142,1967,1.982267463,AnycallSPH-W8550,SamsungElectronics
9#3802,96,9,3802,1.982271233,VG140D715,OLYMPUSIMAGINGCORP.
7#2536,96.00333333,7,2536,1.982286312,DCR-PC330E,Sony
7#3544,96.00333333,7,3544,1.982286312,HDR-HC9,Sony
51#2925,96.01,51,2925,1.98231647,6MP-9FW,DigitalCamera
4#2412,96.01222222,4,2412,1.982326522,HDC-SD1,Panasonic
39#2628,96.0125,39,2628,1.982327778,PhotosmartM415,Hewlett-Packard
153#3755,96.01289474,153,3755,1.982329564,X500,GeneralImagingCo.
4#188,96.01537037,4,188,1.982340762,DMC-ZR1,Panasonic
73#3551,96.01916667,73,3551,1.982357932,CX3,RICOH
4#5,96.01962963,4,5,1.982360026,DMC-FS10,Panasonic
7#2129,96.03813559,7,2129,1.98244372,DSC-S930,Sony
97#3830,96.04,97,3830,1.982452151,14MP-9PC,CAMERA
14#4324,96.04,14,4324,1.982452151,MX350series,Canon
24#3911,96.04,24,3911,1.982452151,FinePixJX530,FUJIFILM
8#2805,96.04,8,2805,1.982452151,E900,Nikon
9#4196,96.04,9,4196,1.982452151,VG150D735,OLYMPUSIMAGINGCORP.
5#91,96.04,5,91,1.982452151,GT-I9192,SAMSUNG
5#225,96.04,5,225,1.982452151,GT-I9295,SAMSUNG
5#443,96.04,5,443,1.982452151,GT-I9300I,SAMSUNG
5#963,96.04,5,963,1.982452151,GT-I9200,SAMSUNG
5#981,96.04,5,981,1.982452151,SGH-I317M,SAMSUNG
5#1552,96.04,5,1552,1.982452151,SAMSUNG-SM-G900A,SAMSUNG
5#1929,96.04,5,1929,1.982452151,SCH-I939,SAMSUNG
5#1972,96.04,5,1972,1.982452151,SHV-E210S,SAMSUNG
5#1976,96.04,5,1976,1.982452151,SM-G900K,SAMSUNG
5#1977,96.04,5,1977,1.982452151,SM-N900K,SAMSUNG
5#1999,96.04,5,1999,1.982452151,SM-N910G,SAMSUNG
5#2073,96.04,5,2073,1.982452151,SM-N900T,SAMSUNG
5#2337,96.04,5,2337,1.982452151,SM-N9006,SAMSUNG
5#2342,96.04,5,2342,1.982452151,GT-B7330,SAMSUNG
5#2390,96.04,5,2390,1.982452151,SM-N910F,SAMSUNG
5#2564,96.04,5,2564,1.982452151,GT-I9190,SAMSUNG
5#3795,96.04,5,3795,1.982452151,SCH-R630,SAMSUNG
5#3936,96.04,5,3936,1.982452151,SCH-R530U,SAMSUNG
5#4016,96.04,5,4016,1.982452151,SGH-T999V,SAMSUNG
5#4099,96.04,5,4099,1.982452151,SCH-I200,SAMSUNG
5#4165,96.04,5,4165,1.982452151,SAMSUNG-SGH-I537,SAMSUNG
5#4281,96.04,5,4281,1.982452151,SCH-R830,SAMSUNG
5#4283,96.04,5,4283,1.982452151,SCH-I415,SAMSUNG
5#4284,96.04,5,4284,1.982452151,SCH-R970,SAMSUNG
7#3408,96.04,7,3408,1.982452151,DCR-SR87E,Sony
7#3557,96.04,7,3557,1.982452151,MAVICAxWf0Wy,Sony
79#3461,96.04,79,3461,1.982452151,DC-6900,Supra
75#3208,96.04,75,3208,1.982452151,ViviCam6324,Vivitar
25#3270,96.045,25,3270,1.982474761,SamsungS1070/KENOXS1070,SAMSUNGTECHWINCO.LTD.
7#2634,96.0485,7,2634,1.982490587,DSC-F88,Sony
18#128,96.055,18,128,1.982519976,KODAKCX7330ZOOMDIGITALCAM,EASTMANKODAKCOMPANY
75#3380,96.0575,75,3380,1.982531279,Vivicam8400,Vivitar
5#1971,96.05833333,5,1971,1.982535047,SHV-E210K,SAMSUNG
248#1270,96.07,248,1270,1.982587791,DSC,DXGCompany
9#2391,96.07,9,2391,1.982587791,FE46X41X42,OLYMPUSIMAGINGCORP.
51#2042,96.075,51,2042,1.982610393,6MP-9Y8,DigitalCamera
75#1913,96.075,75,1913,1.982610393,ViviCam6200W,Vivitar
24#3297,96.0775,24,3297,1.982621694,A150,FUJIFILM
7#3676,96.08,7,3676,1.982632994,DSC-W390,Sony
24#1755,96.08347826,24,1755,1.982648716,FinePixS2Pro,FUJIFILM
4#3303,96.08785714,4,3303,1.982668508,DMC-FS4,Panasonic
4#1850,96.09074074,4,1850,1.982681541,DMC-TZ25,Panasonic
7#3361,96.1025,7,3361,1.982734686,DSC-S780,Sony
31#174,96.103375,31,174,1.98273864,QV-5700,CASIO
39#1620,96.105,39,1620,1.982745983,HPPhotoSmartC935(V03.75),Hewlett-Packard
5#4164,96.11,5,4164,1.982768577,WB250F,SAMSUNG
4#2108,96.11147059,4,2108,1.982775222,DMC-FX38,Panasonic
48#1063,96.11403509,48,1063,1.98278681,EX-Z600,CASIOCOMPUTERCO.LTD.
24#571,96.11875,24,571,1.982808114,X100S,FUJIFILM
54#431,96.12526316,54,431,1.982837542,PENTAXK20D,PENTAX
4#269,96.12671429,4,269,1.982844098,DMC-TZ7,Panasonic
5#3369,96.13,5,3369,1.982858942,SamsungL201/VLUUL201,SAMSUNG
7#2399,96.13067708,7,2399,1.982862001,DSC-S800,Sony
48#857,96.13084906,48,857,1.982862778,EX-Z75,CASIOCOMPUTERCO.LTD.
42#305,96.13635135,42,305,1.982887635,GR,RICOHIMAGINGCOMPANYLTD.
4#1556,96.1376,4,1556,1.982893276,DMC-TZ22,Panasonic
4#1568,96.13941177,4,1568,1.982901461,DMC-GX7,Panasonic
4#2306,96.14958333,4,2306,1.982947407,DMC-GF3,Panasonic
24#3484,96.153,24,3484,1.982962839,FinePixJ25,FUJIFILM
24#1785,96.1625,24,1785,1.983005745,FinePixS4400,FUJIFILM
232#2818,96.165,232,2818,1.983017036,DZ358,3MDSC
9#2192,96.16545455,9,2192,1.983019089,FE26X21,OLYMPUSIMAGINGCORP.
167#4084,96.17166667,167,4084,1.983047143,BenQDCT800,BenQCorporation
7#846,96.17826613,7,846,1.983076943,DSC-W180,Sony
5#3665,96.18,5,3665,1.983084773,SGH-T959D,SAMSUNG
4#1851,96.18321429,4,1851,1.983099286,DMC-FX180,Panasonic
14#4054,96.1875,14,4054,1.983118637,CanonDIGITALIXUS82IS,Canon
95#2790,96.1925,95,2790,1.983141212,DCC540,BenQ
7#3999,96.1975,7,3999,1.983163786,DCR-SR85,Sony
73#2116,96.20461165,73,2116,1.983195891,CaplioG4,RICOH
14#1167,96.205,14,1167,1.983197644,CanonHG10,Canon
14#1446,96.205,14,1446,1.983197644,CanonHF100,Canon
14#1857,96.205,14,1857,1.983197644,CanonVIXIAHFG10,Canon
14#2322,96.205,14,2322,1.983197644,CanonMVX4i,Canon
14#2366,96.205,14,2366,1.983197644,CanonVIXIAHF200,Canon
14#2470,96.205,14,2470,1.983197644,CanonIXYDIGITAL2000IS,Canon
14#2547,96.205,14,2547,1.983197644,CanonIXYDIGITAL1000,Canon
14#2772,96.205,14,2772,1.983197644,CanonMV630i,Canon
14#2964,96.205,14,2964,1.983197644,CanonIXYDIGITAL200a,Canon
14#2999,96.205,14,2999,1.983197644,CanonMVX1S,Canon
14#3153,96.205,14,3153,1.983197644,CanonOPTURA50,Canon
14#3201,96.205,14,3201,1.983197644,CanoniVISHV20,Canon
14#3220,96.205,14,3220,1.983197644,CanonDC20,Canon
14#3688,96.205,14,3688,1.983197644,CanonLEGRIAHV40,Canon
14#3758,96.205,14,3758,1.983197644,CanonIXYDIGITAL90,Canon
14#3958,96.205,14,3958,1.983197644,CanonLEGRIAFS200,Canon
14#4130,96.205,14,4130,1.983197644,CanonVIXIAHFR20,Canon
14#4217,96.205,14,4217,1.983197644,CanonXA10,Canon
14#4318,96.205,14,4318,1.983197644,CanonIXYDIGITAL820IS,Canon
4#1007,96.20818182,4,1007,1.983212007,DMC-FS42,Panasonic
11#1458,96.20980263,11,1458,1.983219324,PENTAXOptioS4,PENTAXCorporation
11#297,96.21220588,11,297,1.983230172,PENTAXOptioS50,PENTAXCorporation
4#1692,96.2148,4,1692,1.983241881,DMC-FX40,Panasonic
18#3271,96.21666667,18,3271,1.983250307,KODAKEasyShareZ980Digital,EASTMANKODAKCOMPANY
4#1437,96.219375,4,1437,1.983262532,DMC-FT2,Panasonic
16#527,96.2225,16,527,1.983276636,LG-SU540,LGElectronics
16#528,96.2225,16,528,1.983276636,LG-SU870,LGElectronics
4#1988,96.22662162,4,1988,1.983295239,DMC-LS80,Panasonic
25#3025,96.22865385,25,3025,1.98330441,VLUUL83T/SamsungL83T,SAMSUNGTECHWINCO.LTD.
4#917,96.23125,4,917,1.983316127,DMC-FS37,Panasonic
8#4194,96.23333333,8,4194,1.983325529,COOLPIXL610,Nikon
43#2363,96.23521978,43,2363,1.983334042,QV-R51,CASIOCOMPUTERCO.LTD
48#690,96.2434375,48,690,1.983371126,EX-Z120,CASIOCOMPUTERCO.LTD.
7#1872,96.245,7,1872,1.983378177,DSC-H90,Sony
4#998,96.2487931,4,998,1.983395292,DMC-FS30,Panasonic
24#3645,96.25,24,3645,1.983400738,FinePixAX245w,FUJIFILM
7#1081,96.25055556,7,1081,1.983403245,DSC-S2000,Sony
6#1760,96.255,6,1760,1.983423298,NIKOND7100,Nikon Corporation
143#286,96.256,143,286,1.98342781,DV,CEC
4#407,96.25684211,4,407,1.98343161,DMC-G6,Panasonic
4#2100,96.25766667,4,2100,1.98343533,DMC-FS20,Panasonic
7#2198,96.26,7,2198,1.983445857,DSC-RX1R,Sony
24#2204,96.26428571,24,2204,1.983465193,FinePixSL300,FUJIFILM
4#507,96.26470588,4,507,1.983467088,DMC-GF6,Panasonic
4#1599,96.267,4,1599,1.983477438,DMC-FT10,Panasonic
10#645,96.27,10,645,1.983490972,Lumia1020,Nokia
5#1842,96.27875,5,1842,1.983530443,GT-i8910,SAMSUNG
14#401,96.29666667,14,401,1.983611254,CanonPowerShotS95,Canon
14#380,96.30318182,14,380,1.983640636,CanonEOS-1DMarkII,Canon
97#3241,96.31625,97,3241,1.983699565,7MP-9GN,CAMERA
8#739,96.3225,8,739,1.983727746,COOLPIXL830,Nikon
48#402,96.32811688,48,402,1.98375307,EX-Z110,CASIOCOMPUTERCO.LTD.
5#511,96.33,5,511,1.98376156,SM-C101,SAMSUNG
4#107,96.33454546,4,107,1.983782053,DMC-GF5,Panasonic
48#2351,96.33916667,48,2351,1.983802885,EX-S2,CASIOCOMPUTERCO.LTD.
48#1532,96.34,48,1532,1.983806642,EX-ZR1000,CASIOCOMPUTERCO.LTD.
43#3067,96.345,43,3067,1.983829181,QV-R52,CASIOCOMPUTERCO.LTD
5#2056,96.345,5,2056,1.983829181,WB700,SAMSUNG
25#2802,96.345625,25,2802,1.983831998,SamsungL700,SAMSUNGTECHWINCO.LTD.
9#1866,96.34916667,9,1866,1.983847963,VG110D700,OLYMPUSIMAGINGCORP.
24#4010,96.353,24,4010,1.983865241,FinePixS4300,FUJIFILM
14#2654,96.35333333,14,2654,1.983866744,DM-GL2,Canon
167#3865,96.355,167,3865,1.983874256,DCC143X,BenQCorporation
136#1679,96.355,136,1679,1.983874256,GZ-MG505,JVC
5#3877,96.358,5,3877,1.983887777,GT-I8160,SAMSUNG
48#3422,96.375,48,3422,1.983964391,EX-G1,CASIOCOMPUTERCO.LTD.
19#3601,96.375,19,3601,1.983964391,DROID2GLOBAL22280001ffd8000,Motorola
149#1700,96.375,149,1700,1.983964391,Pre,Palm
7#3257,96.38375,7,3257,1.984003819,DCR-PC110,Sony
48#791,96.38713415,48,791,1.984019068,EX-M2,CASIOCOMPUTERCO.LTD.
48#1001,96.38716216,48,1001,1.984019194,EX-S600,CASIOCOMPUTERCO.LTD.
13#1083,96.39,13,1083,1.98403198,HERO3+SilverEdition,GoPro
56#515,96.39,56,515,1.98403198,HD2..p.3..A..,GoPro..x..HU..
15#1325,96.39,15,1325,1.98403198,HTCOne_M8,HTC
89#2103,96.39,89,2103,1.98403198,LEICAT(Typ701),LeicaCameraAG
73#4008,96.39,73,4008,1.98403198,GXRMOUNTA12,RICOH
5#345,96.39,5,345,1.98403198,GT-I8262,SAMSUNG
5#347,96.39,5,347,1.98403198,GT-S7562,SAMSUNG
74#1228,96.39,74,1228,1.98403198,HD800,SANYOElectricCo.Ltd.
7#1724,96.39064103,7,1724,1.984034868,DSC-S950,Sony
4#3729,96.39166667,4,3729,1.98403949,DMC-FZ48,Panasonic
4#560,96.40434783,4,560,1.984096621,DMC-GH1,Panasonic
5#3756,96.405,5,3756,1.984099559,SC-02C,SAMSUNG
5#3900,96.405,5,3900,1.984099559,NX210,SAMSUNG
48#3593,96.42,48,3593,1.984167127,QV-R3,CASIOCOMPUTERCO.LTD.
4#2230,96.42052632,4,2230,1.984169498,DMC-FX55,Panasonic
4#3328,96.425,4,3328,1.984189648,VDR-D220,Panasonic
5#623,96.4325,5,623,1.984223426,GT-S5360,SAMSUNG
9#1994,96.43333333,9,1994,1.984227179,VR340D750,OLYMPUSIMAGINGCORP.
154#3929,96.43833333,154,3929,1.984249696,SIGMADP2X,SIGMA
139#3751,96.44,139,3751,1.984257202,7MPDSC,Polaroid
89#3994,96.445,89,3994,1.984279717,M9DigitalCamera,LeicaCameraAG
4#1962,96.44568182,4,1962,1.984282788,DMC-FH24,Panasonic
171#2009,96.4475,171,2009,1.984290975,DCE720%x.%04xCop,BenQDCE720%x.%04xCo
7#1900,96.4475,7,1900,1.984290975,HDR-SR10E,Sony
62#1992,96.45888889,62,1992,1.984342255,V-LUX3,LEICA
7#3217,96.46,7,3217,1.984347258,DSC-G3,Sony
7#3763,96.46,7,3763,1.984347258,DSC-T99D,Sony
4#2534,96.462,4,2534,1.984356262,DMC-FH1,Panasonic
5#1791,96.46212121,5,1791,1.984356808,SAMSUNGWB500WB510/VLUUW,SAMSUNG
5#1754,96.463,5,1754,1.984360764,GT-S8000,SAMSUNG
5#3980,96.46636364,5,3980,1.984375908,SAMSUNGES80/SAMSUNGES81,SAMSUNG
